FIFO: 156
0 644 4
1 644 0
2 934 13
3 644 8
4 644 3
5 934 15
6 806 4
7 934 16
8 1474 4
9 1551 8
10 1474 6
11 644 5
12 1474 8
13 934 9
14 644 2
15 644 6
16 806 2
17 1551 5
18 934 7
19 1474 2
20 1551 6
21 1474 0
22 1474 3
23 934 5
24 934 0
25 1551 4
26 806 3
27 806 8
28 806 10
29 1551 0
30 1551 3
31 806 5
32 1474 1
33 806 6
34 1551 2
LRU: 153
0 644 2
1 644 6
2 934 9
3 644 0
4 644 4
5 934 5
6 806 4
7 934 0
8 1474 0
9 1551 2
10 1474 2
11 644 9
12 1474 1
13 934 13
14 644 3
15 644 5
16 806 6
17 1551 1
18 934 15
19 1474 4
20 1551 3
21 1474 5
22 1474 6
23 934 6
24 934 16
25 1551 8
26 806 8
27 806 7
28 806 5
29 1551 4
30 1551 6
31 806 2
32 1474 8
33 806 3
34 1551 5
OPT: 100
0 644 10
1 644 8
2 934 13
3 644 6
4 644 2
5 934 8
6 806 2
7 934 15
8 1474 1
9 1551 6
10 1474 6
11 644 4
12 1474 8
13 934 9
14 644 3
15 644 0
16 806 8
17 1551 3
18 934 5
19 1474 4
20 1551 8
21 1474 9
22 1474 3
23 934 0
24 934 6
25 1551 5
26 806 7
27 806 4
28 806 3
29 1551 4
30 1551 7
31 806 6
32 1474 2
33 806 5
34 1551 2
