FIFO: 1356
0 10487 37
1 7827 19
2 4739 32
3 8772 9
4 5280 23
5 770 19
6 7827 26
7 2958 26
8 10487 35
9 1642 16
10 7993 16
11 7993 18
12 7827 7
13 627 22
14 770 20
15 1642 14
16 2958 25
17 627 20
18 6745 3
19 6745 35
20 8772 6
21 1642 3
22 2327 32
23 2620 32
24 10487 19
25 2958 32
26 9155 11
27 3758 29
28 5822 25
29 2620 31
30 1642 2
31 7827 9
32 7993 0
33 7827 30
34 2958 38
35 9155 12
36 7827 18
37 9725 24
38 2327 34
39 2620 40
40 9155 13
41 9725 25
42 2327 1
43 3758 26
44 9155 30
45 10487 17
46 5822 28
47 7293 26
48 1642 0
49 7293 10
50 627 24
51 10186 15
52 7827 31
53 2620 38
54 10487 18
55 9725 17
56 770 21
57 2894 1
58 7293 11
59 8772 7
60 4739 34
61 1642 1
62 2894 0
63 770 18
64 1642 17
65 7993 10
66 1642 21
67 2620 2
68 3758 28
69 7993 13
70 5280 6
71 10487 20
72 4739 23
73 5280 33
74 3758 31
75 7293 9
76 770 16
77 2894 24
78 770 14
79 5822 29
80 3758 30
81 10186 6
82 770 15
83 1642 4
84 770 13
85 2620 5
86 2620 36
87 7293 7
88 770 23
89 2894 2
90 2894 8
91 627 9
92 10186 7
93 6745 36
94 6745 32
95 4739 18
96 2894 7
97 6745 16
98 10487 16
99 8772 15
100 3758 6
101 9725 18
102 6745 14
103 9155 36
104 10186 23
105 5822 27
106 10186 8
107 7293 21
108 5822 2
109 7993 14
110 9725 19
111 2894 9
112 1642 13
113 5280 34
114 770 22
115 1642 19
116 1642 12
117 3758 7
118 7293 20
119 10186 5
120 1642 24
121 7827 33
122 2894 14
123 2958 36
124 4739 43
125 2327 29
126 6745 28
127 2620 7
128 2620 9
129 6745 26
130 5280 11
131 9725 7
132 7993 25
133 9725 33
134 10487 12
135 5822 16
136 4739 8
137 7827 10
138 7293 24
139 7827 8
140 770 10
141 9725 34
142 5280 13
143 7827 4
144 10186 4
145 2620 35
146 8772 14
147 10186 20
148 10186 35
149 9725 22
150 8772 12
151 9725 8
152 2327 14
153 3758 8
154 2620 33
155 7993 12
156 5822 30
157 8772 18
158 10186 34
159 4739 29
160 4739 31
161 2958 35
162 770 0
163 2958 33
164 2327 16
165 3758 17
166 1642 6
167 7293 17
168 2958 3
169 7827 6
170 2894 12
171 9155 38
172 9155 39
173 5822 14
174 9155 5
175 7827 22
176 5822 21
177 2327 3
178 9155 3
179 9725 10
180 5280 14
181 2894 36
182 9725 11
183 8772 32
184 7293 16
185 2958 31
186 9725 14
187 4739 13
188 3758 19
189 8772 30
190 2958 30
191 7993 26
192 2958 29
193 4739 12
194 4739 45
195 2958 28
196 7993 15
197 1642 29
198 10186 10
199 9155 1
200 9155 6
201 7293 27
202 9725 16
203 6745 31
204 5822 33
205 9725 9
206 7827 21
207 2620 30
208 10186 14
209 9725 4
210 627 11
211 8772 21
212 9725 6
213 2327 39
214 5280 47
215 2327 38
