FIFO: 1926
0 10487 17
1 7827 18
2 4739 18
3 8772 24
4 5280 41
5 770 1
6 7827 21
7 2958 29
8 10487 16
9 1642 13
10 7993 0
11 7993 8
12 7827 22
13 627 15
14 770 3
15 1642 16
16 2958 28
17 627 17
18 6745 16
19 6745 15
20 8772 25
21 1642 17
22 2327 16
23 2620 2
24 10487 15
25 2958 27
26 9155 6
27 3758 11
28 5822 28
29 2620 33
30 1642 19
31 7827 20
32 7993 9
33 7827 17
34 2958 25
35 9155 7
36 7827 19
37 9725 10
38 2327 18
39 2620 35
40 9155 9
41 9725 29
42 2327 3
43 3758 12
44 9155 11
45 10487 14
46 5822 23
47 7293 21
48 1642 12
49 7293 20
50 627 16
51 10186 7
52 7827 35
53 2620 36
54 10487 37
55 9725 23
56 770 2
57 2894 2
58 7293 1
59 8772 15
60 4739 36
61 1642 22
62 2894 1
63 770 15
64 1642 24
65 7993 10
66 1642 4
67 2620 34
68 3758 14
69 7993 7
70 5280 40
71 10487 38
72 4739 45
73 5280 39
74 3758 3
75 7293 28
76 770 13
77 2894 0
78 770 23
79 5822 13
80 3758 19
81 10186 8
82 770 22
83 1642 28
84 770 10
85 2620 37
86 2620 7
87 7293 26
88 770 8
89 2894 7
90 2894 8
91 627 31
92 10186 30
93 6745 14
94 6745 17
95 4739 43
96 2894 6
97 6745 3
98 10487 35
99 8772 17
100 3758 16
101 9725 25
102 6745 37
103 9155 12
104 10186 29
105 5822 7
106 10186 31
107 7293 24
108 5822 3
109 7993 25
110 9725 17
111 2894 31
112 1642 14
113 5280 15
114 770 0
115 3758 15
116 7293 17
117 10186 15
118 7827 4
119 2894 4
120 2958 26
121 4739 8
122 2327 5
123 6745 35
124 2620 9
125 2620 38
126 6745 36
127 5280 17
128 9725 18
129 7993 24
130 9725 19
131 10487 34
132 5822 5
133 4739 29
134 7827 31
135 7293 16
136 7827 30
137 9725 7
138 5280 16
139 10186 16
140 2620 4
141 8772 16
142 10186 18
143 10186 5
144 9725 6
145 8772 14
146 9725 8
147 2327 39
148 3758 2
149 7993 16
150 5822 4
151 8772 10
152 10186 6
153 4739 31
154 4739 33
155 2958 34
156 2958 32
157 2327 38
158 3758 0
159 7293 15
160 2958 3
161 2894 5
162 9155 0
163 9155 2
164 5822 2
165 9155 5
166 5822 21
167 2327 34
168 9155 3
169 5280 14
170 2894 9
171 8772 12
172 7293 7
173 2958 31
174 4739 34
175 3758 9
176 8772 23
177 2958 30
178 7993 17
179 4739 23
180 7993 18
181 9155 1
182 6745 34
183 5822 12
184 627 0
185 8772 18
186 2327 1
187 5280 30
188 2327 29
189 10487 36
190 5280 31
191 2327 14
192 10487 8
193 627 1
194 6745 32
195 627 24
196 627 9
197 627 7
198 5280 45
199 627 11
LRU: 1941
0 10487 14
1 7827 17
2 4739 45
3 8772 14
4 5280 40
5 770 3
6 7827 21
7 2958 3
8 10487 16
9 1642 13
10 7993 8
11 7993 10
12 7827 19
13 627 0
14 770 0
15 1642 14
16 2958 30
17 627 1
18 6745 36
19 6745 34
20 8772 27
21 1642 16
22 2327 1
23 2620 37
24 10487 39
25 2958 34
26 9155 1
27 3758 12
28 5822 4
29 2620 36
30 1642 28
31 7827 31
32 7993 24
33 7827 4
34 2958 28
35 9155 5
36 7827 35
37 9725 6
38 2327 27
39 2620 7
40 9155 12
41 9725 7
42 2327 16
43 3758 11
44 9155 2
45 10487 35
46 5822 28
47 7293 26
48 1642 24
49 7293 15
50 627 7
51 10186 3
52 7827 18
53 2620 31
54 10487 34
55 9725 8
56 770 2
57 2894 8
58 7293 28
59 8772 24
60 4739 8
61 1642 22
62 2894 4
63 770 10
64 1642 17
65 7993 7
66 1642 19
67 2620 5
68 3758 0
69 7993 9
70 5280 17
71 10487 15
72 4739 34
73 5280 41
74 3758 2
75 7293 16
76 770 20
77 2894 0
78 770 1
79 5822 2
80 3758 3
81 10186 2
82 770 8
83 1642 12
84 770 23
85 2620 4
86 2620 9
87 7293 17
88 770 22
89 2894 9
90 2894 31
91 627 11
92 10186 6
93 6745 15
94 6745 32
95 4739 18
96 2894 1
97 6745 35
98 10487 8
99 8772 16
100 3758 9
101 9725 25
102 6745 14
103 9155 9
104 10186 17
105 5822 12
106 10186 7
107 7293 24
108 5822 7
109 7993 16
110 9725 18
111 2894 5
112 1642 4
113 5280 14
114 770 21
115 3758 15
116 7293 1
117 10186 15
118 7827 30
119 2894 7
120 2958 31
121 4739 29
122 2327 29
123 6745 16
124 2620 34
125 2620 35
126 6745 37
127 5280 16
128 9725 19
129 7993 25
130 9725 5
131 10487 37
132 5822 26
133 4739 36
134 7827 22
135 7293 20
136 7827 20
137 9725 4
138 5280 15
139 10186 4
140 2620 33
141 8772 15
142 10186 18
143 10186 8
144 9725 10
145 8772 12
146 9725 17
147 2327 18
148 3758 17
149 7993 18
150 5822 5
151 8772 17
152 10186 5
153 4739 31
154 4739 32
155 2958 29
156 2958 26
157 2327 3
158 3758 16
159 7293 7
160 2958 32
161 2894 6
162 9155 0
163 9155 11
164 5822 3
165 9155 6
166 5822 21
167 2327 38
168 9155 7
169 5280 43
170 2894 2
171 8772 25
172 7293 21
173 2958 25
174 4739 43
175 3758 14
176 8772 10
177 2958 27
178 7993 17
179 4739 33
180 7993 0
181 9155 3
182 6745 17
183 5822 8
184 627 17
185 8772 23
186 2327 5
187 5280 30
188 2327 39
189 10487 17
190 5280 31
191 2327 14
192 10487 36
193 627 15
194 6745 4
195 627 31
196 627 9
197 627 24
198 5280 39
199 627 16
OPT: 1310
0 10487 17
1 7827 18
2 4739 33
3 8772 12
4 5280 41
5 770 8
6 7827 8
7 2958 29
8 10487 36
9 1642 21
10 7993 0
11 7993 7
12 7827 7
